,en,it
SPEAKER_MAIN,Otranto,Otranto
,,
TUTORIAL_1,Hey! Can you help me? I need to get to the [color=%s]door[/color]!,"Hey, mi aiuteresti? Devo raggiungere la [color=%s]porta[/color]!"
TUTORIAL_2,"Use [color=%s]A[/color] and [color=%s]D[/color] to move, and [color=%s]W[/color] to jump. You can also use the arrow keys.","Per muoverti puoi usare [color=%s]A[/color] e [color=%s]D[/color], mentre per saltare puoi usare [color=%s]W[/color]. In alternativa puoi usare le frecce direzionali."
TUTORIAL_3,The column is blocking the way. Damn... but don't give up yet.,La colonna blocca la strada. Mannaggia… Ma non disperiamo
TUTORIAL_4,Everything you see is drawn in layers. Each layer can have a mask applied that hides its contents. [color=%s]Activate the mask[/color],Tutto ciò che vedi è disegnato in dei layers. Ad ogni layer può essere applicata una maschera che ne nasconde il contenuto. [color=%s]Attiva la maschera[/color]
TUTORIAL_5,"Good, you can move on now. Just remember to [color=%s]turn off[/color] the mask again, hehe.",Perfetto ora puoi passare. Ma ricordati poi di [color=%s]disattivare[/color] nuovamente la maschera eheheh
,,
TUTORIAL_6,"Welcome back. Now let me show you another little trick. If you [color=%s]click and hold[/color] on a mask, you can drag it to another layer",Bentornato. Adesso ti svelo un’altro trucchetto. Se [color=%s]tieni premuto[/color] il mouse sopra ad una maschera la puoi trascinare in un altro layer
TUTORIAL_7,Try moving the mask to [color=%s]layer 1[/color],Prova a spostare la maschera nel [color=%s]layer 1[/color]
TUTORIAL_8,Great job! Here are two useful tips:\n1. Hover the mouse over the mask for a few seconds to highlight the game area it covers,Ottimo lavoro. E adesso due consigli!\n1. Se lasci il mouse per qualche secondo sopra alla maschera vedrai evidenziata l’area di gioco che essa copre
TUTORIAL_9,\n2. Hover the mouse over the layer preview to highlight all the game elements in that layer,"\n2. Se invece lasci il mouse sopra il disegno del layer, vedrai illuminarsi in gioco gli elementi appartenenti a quel layer"
TUTORIAL_10,And one last thing: [color=%s]beware of red[/color]! Heheheh ,E un’ultima cosa: [color=%s]attento al rosso[/color]! Eheheh
,,
TUTORIAL_11,"I never thought an ink blot like you could get this far, heheh",Non pensavo che una macchia di inchiostro come te riuscisse ad arrivare così avanti eheheh
TUTORIAL_12,Masks can be [color=%s]rotated[/color] by 90 degrees. Try rotating the mask in [color=%s]layer 3[/color],Le maschere possono essere [color=%s]ruotate[/color] di 90 gradi. Prova a ruotare la maschera nel [color=%s]layer n°3[/color]
TUTORIAL_13,"Good. See you around… maybe, heheh","Bene. Ci vediamo, forse, eheheh"
